"schema_name","table_name"
"imp_kfm_ul_10.04.24","ul_leader"
"imp_kfm_ul_10.04.24","ztFaces"
"imp_kfm_ul_26.04.2024","ActualStat"
"imp_kfm_ul_26.04.2024","AuthCapital"
"imp_kfm_ul_26.04.2024","ETL_COLUMN_MAPPING"
"imp_kfm_ul_26.04.2024","LIQUIDActualStat"
"imp_kfm_ul_26.04.2024","LIQUIDAuthCapital"
"imp_kfm_ul_26.04.2024","LIQUIDLiquidationInfo"
"imp_kfm_ul_26.04.2024","LIQUIDactivities"
"imp_kfm_ul_26.04.2024","LIQUIDactivitiesACT"
"imp_kfm_ul_26.04.2024","LIQUIDaddress"
"imp_kfm_ul_26.04.2024","LIQUIDclassificationInfo"
"imp_kfm_ul_26.04.2024","LIQUIDfoundersFl"
"imp_kfm_ul_26.04.2024","LIQUIDfoundersInfo"
"imp_kfm_ul_26.04.2024","LIQUIDfoundersUl"
"imp_kfm_ul_26.04.2024","LIQUIDheadOrgInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryActivities"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryActivitiesACT"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryActualStat"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryAddress"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryAuthCapital"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryClassificationInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryFoundersFl"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryFoundersInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryFoundersUl"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryHeadOrgInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryIdentificationAddInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryLeaderInfo"
"imp_kfm_ul_26.04.2024","LIQUIDhistoryLiquidationInfo"
"imp_kfm_ul_26.04.2024","LIQUIDidentificationAddInfo"
"imp_kfm_ul_26.04.2024","LIQUIDidentificationInfo"
"imp_kfm_ul_26.04.2024","LIQUIDleaderInfo"
"imp_kfm_ul_26.04.2024","LIQUIDztFaces"
"imp_kfm_ul_26.04.2024","LiquidationInfo"
"imp_kfm_ul_26.04.2024","REORGActualStat"
"imp_kfm_ul_26.04.2024","REORGAuthCapital"
"imp_kfm_ul_26.04.2024","REORGLiquidationInfo"
"imp_kfm_ul_26.04.2024","REORGactivities"
"imp_kfm_ul_26.04.2024","REORGactivitiesACT"
"imp_kfm_ul_26.04.2024","REORGaddress"
"imp_kfm_ul_26.04.2024","REORGclassificationInfo"
"imp_kfm_ul_26.04.2024","REORGfoundersFl"
"imp_kfm_ul_26.04.2024","REORGfoundersInfo"
"imp_kfm_ul_26.04.2024","REORGfoundersUl"
"imp_kfm_ul_26.04.2024","REORGheadOrgInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryActivities"
"imp_kfm_ul_26.04.2024","REORGhistoryActivitiesACT"
"imp_kfm_ul_26.04.2024","REORGhistoryActualStat"
"imp_kfm_ul_26.04.2024","REORGhistoryAddress"
"imp_kfm_ul_26.04.2024","REORGhistoryAuthCapital"
"imp_kfm_ul_26.04.2024","REORGhistoryClassificationInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryFoundersFl"
"imp_kfm_ul_26.04.2024","REORGhistoryFoundersInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryFoundersUl"
"imp_kfm_ul_26.04.2024","REORGhistoryHeadOrgInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryIdentificationAddInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryLeaderInfo"
"imp_kfm_ul_26.04.2024","REORGhistoryLiquidationInfo"
"imp_kfm_ul_26.04.2024","REORGidentificationAddInfo"
"imp_kfm_ul_26.04.2024","REORGidentificationInfo"
"imp_kfm_ul_26.04.2024","REORGleaderInfo"
"imp_kfm_ul_26.04.2024","REORGztFaces"
"imp_kfm_ul_26.04.2024","activities"
"imp_kfm_ul_26.04.2024","activitiesACT"
"imp_kfm_ul_26.04.2024","address"
"imp_kfm_ul_26.04.2024","classificationInfo"
"imp_kfm_ul_26.04.2024","foundersFl"
"imp_kfm_ul_26.04.2024","foundersInfo"
"imp_kfm_ul_26.04.2024","foundersUl"
"imp_kfm_ul_26.04.2024","headOrgInfo"
"imp_kfm_ul_26.04.2024","historyActivities"
"imp_kfm_ul_26.04.2024","historyActivitiesACT"
"imp_kfm_ul_26.04.2024","historyActualStat"
"imp_kfm_ul_26.04.2024","historyAddress"
